,test_case,id,source,language,text,task1,task2
5427,EXIST2021,5428,twitter,es,"@Sabinaquotes Siempre tuvo la frente muy alta, la lengua muy larga y la falda muy corta",sexist,objectification
5428,EXIST2021,5429,twitter,es,Si son muy putas sustituyan las uvas por ciruelas.,sexist,objectification
5429,EXIST2021,5430,twitter,es,AQUE NEGRA PATA SUCIA MADURA HDPHIJA DE UNA HIJA DE PUTAMELEFICA A ESTA HDP NUNCA LE PASAQUE FEO ES NEGRA GORDA FEA INMORAL CHORRA ASESINA https://t.co/QvOtWxjYtT,sexist,misogyny-non-sexual-violence
5430,EXIST2021,5431,twitter,es,@Antonyesewey Joder me quiero follar a Lord Mujer no ironicamente ayuda,sexist,sexual-violence
5431,EXIST2021,5432,twitter,es,No me había dado cuenta la carrera de cheta frigida que es Marketing hasta ahora que ví Emily in Paris,sexist,stereotyping-dominance
5432,EXIST2021,5433,twitter,es,con todo el llanto terminé haciendo como una niña chiquita q no puede hablar mientras llora ayud ya no me da risa,sexist,stereotyping-dominance
5433,EXIST2021,5434,twitter,es,@dlbyhxx Puta y zorra chikita,sexist,objectification
5434,EXIST2021,5435,twitter,es,"Puta que me empelota cuando vienen machitos que con santa raja saben escribir, a hacerme mansplaining. Anda a lavarte el culo primero por favor",sexist,ideological-inequality
5435,EXIST2021,5436,twitter,es,Es muy de mujeres azotar los sartenes cuando estas encabronada,sexist,stereotyping-dominance
5436,EXIST2021,5437,twitter,es,"#Diego es, exceso, desborde, contradicciones, deseos incorrectos ¿está vedado de la vida al #feminismo ?""Me quedo con todo siempre que no haga daño. Creo que ése es el límite que criticamos cuando vimos dolor en las compañeras e hijes de su vida.https://t.co/YRPvBAGZsD",sexist,ideological-inequality
5437,EXIST2021,5438,twitter,es,@JuLys_LC @marley_ok A vos te hace falta chupar una se te nota en la cara de frigida,sexist,sexual-violence
5438,EXIST2021,5439,twitter,es,"@victorcadet @_David_Senabre_ Larga vida al maestro de Brooklin, y por mi las del #Metoo se pueden ir muy largo...",sexist,ideological-inequality
5439,EXIST2021,5440,twitter,es,@paulxg_ Ponte a trabajar que tengo que ser mujer florero,sexist,stereotyping-dominance
5440,EXIST2021,5441,twitter,es,"@SHIGAW4 ""No puedes salir así, pareces una puta"" ""Nadie te querrá como yo"" ""No salgas sin consultarme, me voy a preocupar"", y otras q no me acuerdo",sexist,stereotyping-dominance
5441,EXIST2021,5442,twitter,es,La Chica Con El Tatuaje De Atrapasueños Entre Las Tetas,sexist,objectification
5442,EXIST2021,5443,twitter,es,Banco mucho el feminismo homogéneo pero no el feminismo facho de Male Pichot.,sexist,ideological-inequality
5443,EXIST2021,5444,twitter,es,"Soy la Marengo,haciendome la mojigata,pero muy en el fondo soy una forra  https://t.co/Jw7ab4M5OC",sexist,misogyny-non-sexual-violence
5444,EXIST2021,5445,twitter,es,"@Miranda46013684 @Saisei_chan @lagatasingenero No hay ninguna doble moral, y sigo viendo que las mujeres no entienden la diferencia el querer follar y la pareja, no es lo mismo, lo he dicho antes y una mujer se rió. Pero viendo tus palabras no lo entiendes, nadie quiere una santa virgen, todos saben q sus novias ya han follao",sexist,stereotyping-dominance
5445,EXIST2021,5446,twitter,es,"@hastaquelle @Libertarix2 Se da la casualidad de que @aldoqft  es un buen tío y no la va a pegar, humillar ni violar a Macarena. Los hombres no hacemos eso por ser hombres. Lo hacen los que están mal de la chaveta. Al igual que hay mujeres criminales.",sexist,sexual-violence
5446,EXIST2021,5447,twitter,es,@LaGueraLoca21 No solo unas lindas tetas,sexist,objectification
5447,EXIST2021,5448,twitter,es,*Marimacho deja de lanzarme*,sexist,misogyny-non-sexual-violence
5448,EXIST2021,5449,twitter,es,@Pititonpin @pzalcala @NoarankoPopovic @Rosismo_ @Eloy3008 Pero antes podíamos sodomizar en plan orgia de secta a https://t.co/LanHNTETDV aún así le devolveríamos la cuarta parte de lo que él nos ha dado por el culo,sexist,sexual-violence
5449,EXIST2021,5450,twitter,es,"@Esgueva3 @david_deivis Pero entonces, él hembrismo no existe o que es? Y ya puede que hablando desde la ignorancia pero es mi sentimiento, no es un poco condescendiente y (machista), esto de que las mujeres son seres de luz y los errores que pueden cometer en su lucha es culpa de hombres?",sexist,ideological-inequality
5450,EXIST2021,5451,twitter,es,@SoyNovioDeTodas Pues mejor hay que ver ña panochita de las mujeres en caso de los hombres por que hay unas con condilomas y no abisan o ni siquiera saben que son enfermedades de trasmision sexual y si te gusta la panochita . Es como todo. Cuestion de gustos,sexist,objectification
5451,EXIST2021,5452,twitter,es,@ComoKroos Por las gafas de nenaza jaja,sexist,stereotyping-dominance
5452,EXIST2021,5453,twitter,es,"Siempre tuvo la frente muy alta, la lengua muy larga y la falda muy corta",sexist,objectification
5453,EXIST2021,5454,twitter,es,El empoderamiento femenino que siento viendo Gambito de Dama ufff me dan ganas hasta de llorar.,sexist,ideological-inequality
5454,EXIST2021,5455,twitter,es,"A la Eliperfecta no la he visto ni cocinar, ni fregar, ni nada no vaya a ser que se rompa una uña #Rosmello",sexist,stereotyping-dominance
5455,EXIST2021,5456,twitter,es,ok si ustedes son de las personas q consideran hombres a las mujeres trans y creen q está bien invalidar cualquier cosa q no se mantenga a lo tradicional (no soy específica para q no me den unf todos) me bloquean grasiasss,sexist,ideological-inequality
5456,EXIST2021,5457,twitter,es,"Me muero por leer la nota del diario de la mañana, con la cobertura de fotos que saca el fotógrafo qué después dice que las feministas les agreden en el pañuelazo.Dijo,nunca nadie.",sexist,ideological-inequality
5457,EXIST2021,5458,twitter,es,@luca45503072 las unicas que hacen eso son las feministas liberales jajdajdja hasta le desean la muerte a chicas de otras ramas del feminismo,sexist,ideological-inequality
5458,EXIST2021,5459,twitter,es,"pero como puede ser si hace medio mes salieron 83 estudios de la universidad de manspreading, kentucky diciendo que no afectaba nada https://t.co/sAoPxHp0Js",sexist,stereotyping-dominance
5459,EXIST2021,5460,twitter,es,"@Lasti_ A ver, que un día allá por mis veinte me vi envuelta en una de esas, duré cinco minutos. Qué incomodidad! Así que aquí otra mojigata",sexist,objectification
5460,EXIST2021,5461,twitter,es,"@ElEndika @MaxLovesDragas @silnersessian @LadyHollow_ Sí, todo ello lamentable y deberían contar con terapia y otras ayudas profesionales como parte de cualquier seguro, público al menos. El tema es la constante invisibilización de las mujeres y la cultura misógina que acarrean y no parece que les interese cuestionarse.",sexist,misogyny-non-sexual-violence
5461,EXIST2021,5462,twitter,es,"Esto, que esos dos estén suspendidos, es un ejemplo de la lucha del movimiento feminista, hace sólo 5 años esos dos agentes no hubieran sido ni denunciados. #YoSiTeCreo https://t.co/9cy5nRFnaJ",sexist,ideological-inequality
5462,EXIST2021,5463,twitter,es,"@BetterRunBro @chairisbareback Claro que pueden, se pueden dedicar a la prostitución, nadie está diciendo que no lo hagan. Digo que es incoherente quejarte de la cosificación, del tratar a mujeres u hombres como mercancía, pero que eso hacen. Repito, nunca dije que no lo hicieran, nada más no quieran dusfrazar",sexist,objectification
5463,EXIST2021,5464,twitter,es,@PeterPon16 @juan68446725 @pais_gran @Santi_ABASCAL La izquierda EN CONTRA de investigar los abusos a menores tuteladasen Baleares (PSOE + PODEMOS + MÉS)y en Valencia (PSOE + PODEMOS + COMPROMÍS)tal y como pidió el partido constitucionalista VOX¿Estos defienden a las mujeres y a las niñas?¿Este es su feminismo?,sexist,ideological-inequality
5464,EXIST2021,5465,twitter,es,"PNC captura a feminicida acusado de asesinar a dos mujeres el pasado 16 de noviembre, las víctimas fueron asesinadas sobre el Km 14 de la carretera de Oro del municipio de Ciudad Delgado, en San Salvador. https://t.co/zfqhjXET5Q",sexist,misogyny-non-sexual-violence
5465,EXIST2021,5466,twitter,es,"Gran mujer, rebelde y revolucionaria de tiempo completo, deja una huella imborrable en sus hijos, familiares y demás quienes la conocimos! https://t.co/6LbunDknuz",sexist,stereotyping-dominance
5466,EXIST2021,5467,twitter,es,"Otra cosa es querer fusilar a 25Millones d hijos d puta niños y mujeres,Xq según ellos las mujeres eran putas y sifilíticas.Esta gente no puede estar en la calle  queriendo hacer no ruido, sino fusilamiento,  una ilegalización d los periódicos q apoyan a los fachanaZis culpables",sexist,misogyny-non-sexual-violence
5467,EXIST2021,5468,twitter,es,"Es que es más fuerte que yo. Retomé the spanish p y ya tengo algo para criticar.La serie es feminista, claramente. Pero también vende que mostrar el cuerpo desnudo de la mujer es empoderamiento, y me vuela la mente. Siempre en bolas sale la actriz",sexist,ideological-inequality
5468,EXIST2021,5469,twitter,es,"Los supuestos valores :no aspirar a desarrollo profesional y dedicarse a ser esposa y madre ,la housewife perfecta .No digo que esté mal , lo malo es creer que todo lo que una mujer latina quiere y necesita es un hombre que le traiga el  y a cambio ella es bonita y complaciente",sexist,stereotyping-dominance
5469,EXIST2021,5470,twitter,es,"@Joni_punto @gemagoldie @subetealanutria Y entre amigos? No es algo que preocupe en demasía, no? Que se ocupen de eso las señoritas que para eso nacen con una escoba bajo el brazo",sexist,stereotyping-dominance
5470,EXIST2021,5471,twitter,es,Aurah tiene muy pocas luces y ni siquiera ha sido capaz de afirmar que Jesé es el amor de su vida porque lo que en realidad es para ella es su seguro de vida. Vive de él. Lagartona. #LaCasaFuerte14,sexist,stereotyping-dominance
5471,EXIST2021,5472,twitter,es,Bueno zorra estúpida no empieces https://t.co/uDZ0DGqNdo,sexist,misogyny-non-sexual-violence
5472,EXIST2021,5473,twitter,es,por qué todas las personas pensarán que soy dulce y tierna (?) wey soy una maldita perra,sexist,stereotyping-dominance
5473,EXIST2021,5474,twitter,es,@badgalciici @monicamorav Y ni siquiera se que tiene que ver el mansplaining jajaja,sexist,ideological-inequality
5474,EXIST2021,5475,twitter,es,ODIO A LAS MUJERES. BYE.,sexist,misogyny-non-sexual-violence
5475,EXIST2021,5476,twitter,es,"Señoritas no intenten entender el fútbol, solo dedíquense a servir botana y cervezas y tener las cheves bien frías en el refri, no se desgasten.",sexist,stereotyping-dominance
5476,EXIST2021,5477,twitter,es,"Ya han pasado dos años desde el movimiento feminista en las Universidades. La participación, denuncias, visibilización y apoyo a víctimas tuvo consecuencias para muchas: despidos, juicios, hostigamiento, aislamiento. ¿Cuánto hemos avanzado? #MeToo https://t.co/irxtPIuJkk",sexist,ideological-inequality
5477,EXIST2021,5478,twitter,es,-sisisi callate ya niñata- https://t.co/txNSA3WRkK,sexist,stereotyping-dominance
5478,EXIST2021,5479,twitter,es,"@LunaPeregrina13 Las mismas que ven todos los días esta información en redes, insisto no es la.unica y  no la estoy disculpando. No se que tiene que ver el feminismo en esto pero para pronto. Los que se niegan sí médicos a practicar un aborto en donde sí es legal hacen el mismo daño.",sexist,ideological-inequality
5479,EXIST2021,5480,twitter,es,@leandrobtw_ Feminista feminismo machismoFeminazi pajero virgo,sexist,ideological-inequality
5480,EXIST2021,5481,twitter,es,"Hay un tipo de hombres que cuando debaten con una mujer, no debaten. Se dedican a llamarla ""niñata"", a decirle que estudie (cuando ella igual tiene ya sus estudios), a hablarle con un tono de superioridad moral rancio... etc. Si esa mujer es de otra religión o país, ya ni os (+)",sexist,stereotyping-dominance
5481,EXIST2021,5482,twitter,es,"@blueskyprint_ @fqr3lise @ByeolHongjoong No tadas las mujeres mentruan, periño hay que ser mujer para hacerlo. Las mujeres somos las hembras humanas, y no las mujeres no tenemos pene.",sexist,ideological-inequality
5482,EXIST2021,5483,twitter,es,@CamiYTaniaSW Si me quedara después de que me dejes follar a tu linda mujer https://t.co/ES06ITbTnW,sexist,objectification
5483,EXIST2021,5484,twitter,es,@tobesogld tu quien eres golfa,sexist,misogyny-non-sexual-violence
5484,EXIST2021,5485,twitter,es,@DilemmaGH Que guarra eres,sexist,misogyny-non-sexual-violence
5485,EXIST2021,5486,twitter,es,"Ese juez es un charlatan, la condicion de ser mujer no es un presupuesto para no imponer prision preventiva @cdn @VinicioSenador @FelixPortes @bolivarvalera @mariaelenanb @JosePaliza @jorgesuberoisa @huchilora @LuisinJimenezc @DoctorFarola",sexist,misogyny-non-sexual-violence
5486,EXIST2021,5487,twitter,es,"@FlorB212 @sol__despeinada Pero eso es una estadistica, por ejemplo, conozco 300 mujeres y sabes q 100 ya han abortado te da un dato. Pero no las juzgo.",sexist,stereotyping-dominance
5487,EXIST2021,5488,twitter,es,"@joseacavallo @IscoMartinez00 @Yeimy82386011 @AntonyFermin @sergiocarlo No, no quise decir que sea culpa del feminismo. Pero ciertamente dejé mucho espacio a interpretación. Solo espero que a partir de esta noche los y las feministas comiencen a protestar porque no se le dio un trato igualitario a esa señora por el simple hecho de ser mujer.",sexist,ideological-inequality
5488,EXIST2021,5489,twitter,es,"@LizzieLpz @Aaremcio1 @Kenneeth__ @marsiscovich (1)""Siempre ha sido asi"" El feminismo buacaba la igualdad porque era necesaria en los años que comenzó 1850 (si estoy mal me corrijes pero no cambia el punto) en tales años existia una fuerte creencia hacia el androcentrismo por lo que la mujer no era nada...",sexist,ideological-inequality
5489,EXIST2021,5490,twitter,es,"Si algún transfobo o terf está leyendo esto, les pido por favor que paren, el daño que hacen es tremendo joder.Ya dejennos en paz, no entiendo tanto odio hacia Nosotres, las personas trans siempre hemos apoyado al feminismo, a las mujeres.Se están equivocando mal(+)",non-sexist,non-sexist
5490,EXIST2021,5491,twitter,es,"@Alph4onHigh @Autistic__Kid @aproba3bro @dvsuspended @IbaiLlanos Se ve que entiendes, de discernir entre primer mundo, en vías de desarrollo o tercermundo. Vete a pegar mujeres que los de tu país es lo único que sabéis hacer, escoria, menuda bomba tiraba en esa isla de mierda y acabar con simios en evolución como tú.",sexist,misogyny-non-sexual-violence
5491,EXIST2021,5492,twitter,es,@Amnesia1976 @oostituu @VittonWitton JajajajajaYo la rubia tonta. .. (es una broma que luego se me ofenden),sexist,stereotyping-dominance
5492,EXIST2021,5493,twitter,es,"¡Y mujer!Para que si el resto de la junta de gobierno del #INEGI no toma en cuenta sus ridiculeces, pueda entonces alegar #ViolenciaDeGénero. Cómo ya lo hizo doña Olga Sánchez Florero respecto al gabinete de seguridát. https://t.co/wwLoOZiokW",sexist,ideological-inequality
5493,EXIST2021,5494,twitter,es,"Cosas que existen si sistema que las respalde , la gente que cree en extraterrestres, las tribus urbanas, el alpinismo, el veganismo......así unos pocos ejemplos de sistemas de ideas y de comportamiento..lo mismo pasa con el hembrismo. https://t.co/ZZoCCfplJS",sexist,ideological-inequality
5494,EXIST2021,5495,twitter,es,#Crímenes ⚠ Político boliviano preso por violar a sus hijastras y sobrinos .- https://t.co/iFcBeK5TOx .,sexist,sexual-violence
5495,EXIST2021,5496,twitter,es,@httpchxnel_ Cómo que un pelín zorra?,sexist,objectification
5496,EXIST2021,5497,twitter,es,El ser humano es ese ser completamente subnormal que sería capaz de entrar al trapo con alguien que responde a una correcta argumentación con un COMEME LA POLLA HIJO DE PUTA...,sexist,sexual-violence
5497,EXIST2021,5498,twitter,es,cómo amo a las mujeres que hermosas que son las mujeres me encantan las mujeres son preciosas las mujeres gracias por existir mujeres soy trola por ustedes mujeres las mujeres son lo más lindo que hay dios qué bellas las mujeres me encantan mujeres sepan que las amo,sexist,objectification
5498,EXIST2021,5499,twitter,es,Emma Goldman y el feminismo anarquista https://t.co/Q8TvrR9hRs,sexist,ideological-inequality
5499,EXIST2021,5500,twitter,es,Pero la opresión a la mujer está en que le aprieta la talla 38 o el manspreading en el Metro. https://t.co/cnJfrufOIT,sexist,objectification
5500,EXIST2021,5501,twitter,es,"Breve recuento de PALÍNDROMOS hallados en las redes sociales:1. “La ruta nos aportó otro paso natural”.2. “Anita la gorda lagartona no traga la droga latina”.3. ""Arriba la birra "".4. ""Anita lava la tina"".5. ""Dábale arroz a la zorra el abad"".",sexist,misogyny-non-sexual-violence
5501,EXIST2021,5502,twitter,es,@_my_hope_is_BTS @taekuka_triste1 @sxnlightsmoon Pues ahora a somos zorras inalcanzables vale cariño?,sexist,stereotyping-dominance
5502,EXIST2021,5503,twitter,es,"@Dana_rattana ¿Y sobre el daño que hacen los lagartos? ¿El daño que hace el ""feminismo"" electoral?",sexist,ideological-inequality
5503,EXIST2021,5504,twitter,es,@Geneeee11 @LinaRecanatesi @AgustinaGarnero ¿Si?¿Y se pone también en el lugar de Lina?No veo que haya cuestionado a ninguna de las señoritas que se están burlando de ella en este hilo.,sexist,stereotyping-dominance
5504,EXIST2021,5505,twitter,es,"@teloresumo Toda persona que existe (buena o MALA), existe porque nació. No es un gran secreto. Entonces, ¿qué pasa con todas las que no existen/nacieron? ¿Hay que echarle la culpa a todas las mujeres que decidieron no tener hijos? ¿O solo a las EMBARAZADAS que no quisieron tener hijos?",sexist,ideological-inequality
5505,EXIST2021,5506,twitter,es,"siempre tuvo la frente muy alta, la lengua muy larga y la falda muy corta",sexist,objectification
5506,EXIST2021,5507,twitter,es,"Ay amiga, espérate a que intente sacudirte la carita agarrándote de la barbilla mientras te hace mansplaining e intenta convencerte de que no habla con otras, mejor ya sal de ahí jajaja:(",sexist,ideological-inequality
5507,EXIST2021,5508,twitter,es,@lucianera2020 Encantadora y bella mujer muy atractiva,sexist,objectification
5508,EXIST2021,5509,twitter,es,"siempre tuvo la frente muy alta, la lengua muy largay la falda muy corta",sexist,misogyny-non-sexual-violence
5509,EXIST2021,5510,twitter,es,"@el_pais Se ve que el feminismo que defiende “mi cuerpo, mi decisión”, es solo cuando estáis de acuerdo, si no es como queréis es machismo. Qué hartazón del temita, y cuanto daño nos hace a las mujeres. Si queréis que os traten de pobrecitas estupendo, pero no estamos todas en ese saco.",sexist,ideological-inequality
5510,EXIST2021,5511,twitter,es,@gabrielboric @GiorgioJackson @Pa__tty O sea tú también quieres sodomizar niños???,sexist,sexual-violence
5511,EXIST2021,5512,twitter,es,"Acabo de ver a una tía llamando ""amiga de hombres"" como insulto a otra mujer.Recuerdo cuando en el instituto algunos compañeros de clase se reían de otros por ser amigos de chicas. Afirmaban que la amistad entre hombres y mujeres era imposible y que sólo valían para follar.",sexist,objectification
5512,EXIST2021,5513,twitter,es,Las mujeres que abortan no deben nada a las que no pueden tener hijos  https://t.co/Wr1csqfx2F,sexist,ideological-inequality
5513,EXIST2021,5514,twitter,es,"@by60sdrama El feminismo es un movimiento creado por mujeres, impulsa el empoderamiento frente a la desigualdad y violencia con el género opuesto ¿por qué no pueden opinar? Simplemente porque no han sido históricamente reprimidos y sometidos a crueles tratos como las mujeres.",sexist,ideological-inequality
5514,EXIST2021,5515,twitter,es,"No bro , no porque un hombre es caballero significa que es simp , se nota que en tu casa no te enseñan modales o como tratar a una mujer.",sexist,stereotyping-dominance
5515,EXIST2021,5516,twitter,es,@Przzzy A mi mamá no la quiere nadie por Gorda ? Jajaja.. a ella no la quiere nadie por gorda y a la tuya la quieren por puta .. jajaja #DiaperDonaldTrump,sexist,objectification
5516,EXIST2021,5517,twitter,es,"@javicmrs @tressymaniqui Aquí le explico en que partes del pensamiento oscuro con esos violadores que #notallmen, se identifica usted.https://t.co/rT1zg32iMu",sexist,sexual-violence
5517,EXIST2021,5518,twitter,es,"@vickymarin0 @beaalbercaa En que momento menciona a todos los hombres? Una mujer marcándose un #NotAllMen wow, nice 2020",sexist,ideological-inequality
5518,EXIST2021,5519,twitter,es,"@sexhonesta Las respuestas no han sido tampoco las adecuadas.  Mandarte a buscar un “buen hombre, xq los hay” es interferir en tus decisiones.  Suena a #NotAllMen Solo puedo hablarte de mi experiencia, y estoy convencida q difílcimente lográs una relación heterosexual  desde la igualdad.",sexist,stereotyping-dominance
5519,EXIST2021,5520,twitter,es,"El feminismo radical les está haciendo demasiado daño, que triste https://t.co/sxgKsias1g",sexist,ideological-inequality
5520,EXIST2021,5521,twitter,es,"@soyeltibio Pienso del masculinismo, lo mismo que pienso del feminismo. Mas que nada porque los masculinistas que me he topado, activistas en verdad, son bastante extremistas, además de que promueven que no haya relaciones afectivas entre hombres y mujeres. Se victimizan igual que las femis.",sexist,ideological-inequality
5521,EXIST2021,5522,twitter,es,"@soloopino10 @ConsejoParaguay El acoso sexual, no es galanteo",sexist,sexual-violence
5522,EXIST2021,5523,twitter,es,@dalmaciomera Su contribución en el plenario de hoy fue innecesaria y solo provocó demora y desorganización. Mucho mansplaining y una actitud que entorpece el debate. Espero que realmente escuche a lxs expositorxs para finalmente votar a favor de la ILE. Pónganse a la altura.,sexist,ideological-inequality
5523,EXIST2021,5524,twitter,es,@ElizenCiado26 @Cheitop30 Deja al Cheo! Yo voy a defenderle sus bienes de cualquier lagartona que quiera quitarselos!,sexist,misogyny-non-sexual-violence
5524,EXIST2021,5525,twitter,es,@HylianLucy @msikusimakusi @Gaylestv @PlataformaTrans Alguien que no va deseando asesinar mujeres.Haztelo mirar...no vayas a ver odios en ojos ajenos sin revisarte los propios,sexist,misogyny-non-sexual-violence
5525,EXIST2021,5526,twitter,es,"@lopezobrador_ Que bueno que se está recuperada pero no evita que sigan los muertos en tu sexenio, los números de muertos de Calderón palidecen ante los tuyos, tienes convertido al País en el Camposanto más grande del Mundo, es tu logro, va a regresar solo como un florero más esta mujer.",sexist,stereotyping-dominance
5526,EXIST2021,5527,twitter,es,@Squishi_ordo También creo que es por las ideas del feminismo radical que tiene. Solo es una conclusión que saco al ver el lenguaje inclusivo. Espero que pueda a ver su padre como padre y no como alguien que potencialmente le pueda hacer daño,sexist,ideological-inequality
5527,EXIST2021,5528,twitter,es,"@_BloodySin Ella está apoyada en el margen de la puerta, por lo que no se cae al suelo pero sí que se ríe. Frunce el ceño, aunque acaba riéndose.—¿Para qué? —se cubre las tetas—, guarro.",sexist,objectification
5528,EXIST2021,5529,twitter,es,SofhiayelPolaco la educación cool de sus padres artistas y Aníbal arquitecto... dan como resultado una hermosa mujer dulce bella compleja inteligente sensible libre me encanta como se acompansan sus almas...Él una bestia sedienta de pasión polo opuesto para S ...#escandalocitos,sexist,stereotyping-dominance
5529,EXIST2021,5530,twitter,es,"Uds., no saben lo feliz que es mi niña interior futbolera, que durante muchos años le dijeron marimacho en el colegio porque las niñas de su salón no jugaban fútbol y le tocaban los descansos con puros niños para hacer lo que la hacía más feliz, viendo cosas como esta. https://t.co/XfmcLNDj8m",sexist,stereotyping-dominance
5530,EXIST2021,5531,twitter,es,"@Sariz_Valeria @mvgb0170 , obviamente, ""los hombres salimos de nuestras casas todos los dias con el unico propósito en la vida de violar mujeres, es en lo único que pensamos los hombres"" , como es que no existe una obra de literatura universal con este tema?",sexist,ideological-inequality
5531,EXIST2021,5532,twitter,es,"───Está entrando con un sujeto bien agarrado del brazo a la parte de las celdas. El tío va quejándose de que le duele, pero es que ha estado a punto de darle un golpe en la cara y eso sí que no lo permite... no, no───. Habértelo pensado dos veces, nenaza de mierda. +",sexist,stereotyping-dominance
5532,EXIST2021,5533,twitter,es,"“Esque estas bien alta, muy lagartona”Me- óyeme, esas palabras tienen significados muy distintos y no voy a permitir que me clasifiques junto a las personas altas",sexist,objectification
5533,EXIST2021,5534,twitter,es,"@SahrawiFeminist @armesillaconde Es increíble que usen y manipulen las cosas para echar  sobre la gente. Cualquier cosa les va bien para desacreditar, difamar y etiquetar a mujeres valientes que dan la cara. Cuanto daño están haciendo el ego, la envidia o la necesidad de ganar seguidores.Ánimo compañera.",sexist,ideological-inequality
5534,EXIST2021,5535,twitter,es,@gringagringa23 Golfa inmunda,sexist,misogyny-non-sexual-violence
5535,EXIST2021,5536,twitter,es,a mi a niñata no me ganaaaan,sexist,stereotyping-dominance
5536,EXIST2021,5537,twitter,es,"La muchacha que ha pasado por todas las universidades, y que intimida mucho, ahora es empoderada de los influencer que mendigan dinero, una verdadera mujer de retos!!!",sexist,stereotyping-dominance
5537,EXIST2021,5538,twitter,es,"Tu y yo siempre fuimos de esas, con la falda muy corta, y la lengua muy larga.",sexist,objectification
5538,EXIST2021,5539,twitter,es,"@Jonathanelazul @TwoSidedYuu Existe, pero las feministas lo atacan, ese movimiento es el masculinismo, que lucha contra leyes injustas o movimientos injustos contra los hombres.",sexist,ideological-inequality
5539,EXIST2021,5540,twitter,es,"@cr0mags La Isa, guarra, Blesdegapo",sexist,misogyny-non-sexual-violence
5540,EXIST2021,5541,twitter,es,@CasherMargo Porq te ves deli y atractiva,sexist,objectification
5541,EXIST2021,5542,twitter,es,"@flamessmalik de ""si te gustan famosas no sos bi/lesbiana"" o ""solo si te interesan sexualmente tampoco lo sos"" etc, obviamente puede ser ~apreciar la belleza ~ pero hay muchas mujeres que les cuesta aceptarse y discursos asi hacen que se tiren para atras",sexist,objectification
5542,EXIST2021,5543,twitter,es,"Si no nos decidimos por éste estamos perdidos y nuestra decadencia va a ser definitiva. - El marxismo le ha hecho mucho daño a la humanidad y lo sigue haciendo con los sucedáneos de la lucha de clases que propone: feminismo, ecologismo, ambientalismo, indigenismo,",sexist,ideological-inequality
5543,EXIST2021,5544,twitter,es,"Claro, es sencillo decir ""fulanitx, es hombre, tiene pene"" (elle) , ""fulanitx hace mansplaining"" (elle/ella), ""fulanitx violentó a una compa""(le señaló transfobia), pero no pueden ni 1 sg pensar en todo lo que estos comentarios causan! me genera rabia esto",sexist,ideological-inequality
5544,EXIST2021,5545,twitter,es,"@joselui15252727 @Adrilastra Las señoritas bien pagadas , les quitan la comida a los que no pueden comprarla .",sexist,stereotyping-dominance
5545,EXIST2021,5546,twitter,es,"@CathyJuvinao @GustavoBolivar Y dale con tu mansplaining. ¿Que te debatan con argumentos es mansplaining, cariño? Así no es.",sexist,ideological-inequality
5546,EXIST2021,5547,twitter,es,"@LauraCr62814414 @NotasJukilop2 Yo creo que el salir en ese roast sin tirar, no se compara con todo lo que a ella le hicieron antes, NADA que ver, fue súper fuerte lo que le hicieron, deben estar mal de la cabeza para no entender eso, Lizbeth no respeta a las mujeres no se hagan",sexist,ideological-inequality
5547,EXIST2021,5548,twitter,es,"Ella no es la que indica que las mujeres se pueden embarazar por sexo anal?En fin, Partido Morado  https://t.co/hoXvlYoQMe",sexist,misogyny-non-sexual-violence
5548,EXIST2021,5549,twitter,es,"EXPRESION PARA,EL REINO DE LOS CIELOS,,ES LA LEY NO VIOLES AL LIBRE ABEDRIO,SI NO SOY PUTA EN LA CAMA CON MI MARIDO,SE IRS,DE PUTAS CON JACOB,QUE CASUALMENTE,ERA,EL UNICO EN SU UNIVRSO PARALELO!!!!!!!!QUE TENIA,ACCESO A TU ERES MI AMIGUITO,POLLA SI,SOLO CON MI RAKEL",sexist,stereotyping-dominance
5549,EXIST2021,5550,twitter,es,no voy a superar la vez que soñé que yeojin me gritaba en un concierto “SAQUEN A ESA GOLFA”,sexist,ideological-inequality
5550,EXIST2021,5551,twitter,es,Sumisa y reprimida. Así era el papel de la mujer en la Antigua Grecia... https://t.co/1Vyss5J8RT,sexist,stereotyping-dominance
5551,EXIST2021,5552,twitter,es,@carmencalvo_ @LODOSANT Y otra más de hembrismo criminal ¿O como lo llamamos? https://t.co/6SHGBACjZO,sexist,ideological-inequality
5552,EXIST2021,5553,twitter,es,Verdadermanete soy una rubia tonta pero con bonitos sentimientos,sexist,stereotyping-dominance
5553,EXIST2021,5554,twitter,es,todas putas,sexist,objectification
5554,EXIST2021,5555,twitter,es,"@cielo_rusinque Hembrismo, y misandria. También habría la pena mencionar, por qué lo que fundamentalistas creen que están andando por los rieles del feminismo y hay una ideología bastante peligrosa detrás de los que buscan teóricos superfluos, orientados bajo literatura reciente y dañina.",sexist,ideological-inequality
5555,EXIST2021,5556,twitter,es,"me quiero follar al osito bimbo, sus deliciosas curvas me excitan demasiado, tanto que me hacen llegar al orgasmo de solo verlas, me gustaría darle unas fuertes nalgadas a sus blancas y suaves pompas joder me tienes demente ni puedo verte en el supermercado porque se me pone dura",non-sexist,non-sexist
